Comune,Totale,alberghieri,extralberghieri
Marlengo,34.5595844923,38.7649828767,20.2560151425
Martello,18.9696085036,24.4308579668,8.8758594958
Meltina,14.6680716544,17.5851106872,10.8058467896
Merano,38.9064700434,40.3513950292,32.0832897626
Monguelfo-Tesido,28.8965556119,33.7347425187,20.8529373505
Montagna,18.4991020715,20.9940418598,14.5121388851
Moso in Passiria,23.3844144311,27.8528253655,15.5160336239
Nalles,25.2342525436,30.1116201102,13.3897647971
Naturno,41.0448432459,42.4894900907,37.9567695889
Naz-Sciaves,35.7565575528,39.2907972654,13.1009951532
Nova Levante,32.3790680382,38.5531412894,16.8980882132
Nova Ponente,37.814155899,42.7118442497,17.942256655
Ora,27.968888515,33.650672364,17.708543261
Ortisei,32.0293399038,42.0808028018,17.6498569923
Parcines,32.0090955363,37.0218396744,18.3391184213
Perca,26.7423324039,36.305196296,12.7498040387
Plaus,39.5017268811,44.0530702175,20.0736045798
Ponte Gardena,73.1218457102,73.1218457102,0
Postal,33.7833988878,41.3365677321,15.0307038262
Prato allo Stelvio,25.3856030446,28.1946191861,24.1475619277
Predoi,17.6909064413,27.6508883765,6.1281687923
Proves,5.4838888581,6.8949771689,5.0890765846
Racines,37.1870400186,52.9597677644,10.8130907564
Rasun Anterselva,33.1831872175,36.9443543811,28.1916799731
Renon,31.1531453903,32.8835367631,26.4699091889
Rifiano,25.7324297044,30.1920682058,14.119774669
Rio di Pusteria,40.0337850781,43.6560252415,11.1302933634
Rodengo,25.0713088561,29.7335852622,10.5525420612
Salorno,23.1116473845,24.091639112,20.1512557078
S.Candido,37.8558851038,41.6651081114,29.4408057276
S.Genesio Atesino,25.0833060235,28.4648132577,18.5201367293
S.Leonardo in Passiria,33.1443808355,38.2275213395,13.2569818375
S.Lorenzo di Sebato,46.6723168736,58.1334624843,32.0404029636
S.Martino in Badia,24.3846020988,33.1976444885,15.6700740802
S.Martino in Passiria,43.796424676,51.8885236741,15.226697439
S.Pancrazio,19.6481614996,26.6946968669,15.7802263252
S.Cristina Val Gardena,30.4949402941,38.047076718,19.1955014871
Sarentino,20.0154046603,23.2357920986,12.3852303155
Scena,47.5267627632,49.1228020351,34.2382205968
Selva dei Molini,32.8707967476,41.3894324853,16.4871829649
Selva di Val Gardena,36.488462034,40.0452747322,24.3185959839
Senales,35.0022463521,40.9086374276,13.1893331043
Sesto,39.6613369066,45.3835348013,32.1010564587
Silandro,28.8797888041,30.6656824642,18.797743755
Sluderno,28.7609997278,31.1751386845,19.0239726027
Stelvio,26.0054175903,29.5084035033,13.5687610457
Terento,36.137439028,40.6446732053,16.8261624542
Terlano,27.6354410111,33.4711851029,19.9991846053
Termeno s.s.d.v.,28.1840904205,32.3155286121,21.7242772037
Tesimo,23.0962668248,26.5588301077,13.5952842769
Tires,22.0170702379,30.3235527657,7.963399799
Tirolo,37.6656089854,39.8534740195,23.7335019034
Trodena nel parco naturale,25.679873913,27.1047042583,14.5962690163
Tubre,23.5104088016,25.320531391,20.1253772928
Ultimo,31.0611482976,36.1456034392,20.1575342466
Vadena,37.9445500426,39.8724693902,20.3756076005
Valdaora,41.080401777,46.8110211706,28.0157772528
Val di Vizze,25.0156166403,34.4284845197,5.5819133534
Valle Aurina,36.6578256796,44.6958099196,17.4410924231
Valle di Casies,33.2173988384,41.9433865742,22.7912062537
Vandoies,21.6930543127,23.0330126256,19.2949046217
Varna,22.7643380163,36.681994706,11.2232636385
Verano,27.024424916,34.2209078481,17.1267411074
Villabassa,31.404450319,27.5740167919,42.9390163393
Villandro,34.0562305537,41.3147986902,10.3837616238
Vipiteno,39.0857664143,43.6155949819,21.0236882449
Velturno,28.7166640016,41.1029981907,13.581777269
La Valle,23.2522058705,33.5639898408,11.8446886778
Senale-S.Felice,18.1007837011,19.257576833,6.4726027397
Totale,33.3854885897,38.9752177726,20.9221851755
