Comune,Totale,alberghieri,extralberghieri
Aldino,20.7746669981,24.5207867756,13.2241293943
Andriano,27.3929703115,30.4101045197,20.8410897059
Anterivo,28.9593645677,31.213399987,11.3444951801
Appiano s.s.d.v.,32.0244923207,39.6781410684,19.9163005901
Avelengo,55.4523195023,78.5615990981,18.3271284624
Badia,32.2978297314,37.7445115446,23.0756213544
Barbiano,32.8115425144,38.93739598,17.2487946736
Bolzano,43.6003515483,45.9112166847,31.6382670676
Braies,27.4328767123,35.5022373514,15.0813093537
Brennero,35.049272191,28.4805196758,53.4998380943
Bressanone,30.9458810066,33.7272263049,23.9366636515
Bronzolo,41.8982387476,41.8982387476,0
Brunico,41.3315213837,45.2668844903,28.3844096246
Caines,22.4631190727,33.2118018967,14.7854884841
Caldaro s.s.d.v.,25.4612432627,32.6517690332,18.4901218015
Campo di Trens,30.2331849259,30.9428977692,25.5410958904
Campo Tures,30.1346948421,34.0708542541,19.0111083437
Castelbello-Ciardes,27.7616299284,29.7909156453,20.9071537291
Castelrotto,37.3696600246,44.457300388,19.8721118359
Cermes,30.3665309145,39.0233938833,11.9935263858
Chienes,35.4249833491,46.4905629981,13.9079927167
Chiusa,26.0450627361,41.0991924913,9.3777731002
Cornedo all'Isarco,28.63048204,34.6452208712,16.2771338251
Cortaccia s.s.d.v.,27.9478293192,31.8159580146,24.2072213501
Cortina s.s.d.v.,33.6930860034,39.8803537368,9.0480027627
Corvara in Badia,34.1872384974,38.7298954186,19.3563452778
Curon Venosta,28.081374245,33.0052526441,17.1633735244
Dobbiaco,29.4174683965,40.5045469532,18.8830100571
Egna,15.7543746319,15.966786953,14.8281305698
Falzes,35.5508524607,39.7060986441,25.8650321317
Fie' allo Sciliar,33.8431013794,39.7923784205,26.8376731732
Fortezza,27.7373167206,27.7373167206,0
Funes,21.1729461776,27.9913784389,14.9540504048
Gais,37.6413937115,42.5659783207,14.2338833209
Gargazzone,27.8897748699,30.9329952317,13.6210907211
Glorenza,19.2848399051,22.1378845722,18.2846345907
Laces,32.0707208739,37.1298643356,24.6397677738
Lagundo,36.0462295971,39.1298151751,24.9554266877
Laion,25.5013041803,33.3420804908,14.7080660816
Laives,36.4655521856,34.9053429062,39.3974258163
Lana,30.9953144119,35.9268291909,24.8924352451
Lasa,15.4123180586,10.2326445322,21.304363137
Lauregno,13.2244467861,0,13.2244467861
Luson,31.2744108065,36.3211845103,9.1743244628
Magre' s.s.d.v.,23.3469638111,26.6054794521,13.7630942788
Malles Venosta,30.2282784969,40.0595312147,13.8324402414
Marebbe,36.9535145044,41.5221679455,29.1653438376
