Comune,Totale,alberghieri,extralberghieri,italiani,stranieri,semestre estivo
Terlano,21018,16330,4688,5681,15337,15031
Termeno s.s.d.v.,32479,22485,9994,1921,30558,27896
Tesimo,21600,13631,7969,1764,19836,18210
Tires,20779,18541,2238,4042,16737,15810
Tirolo,124231,112020,12211,9160,115071,103623
Trodena nel parco naturale,10639,9888,751,2892,7747,6611
Tubre,4450,3939,511,1194,3256,2842
Ultimo,33513,29465,4048,9201,24312,18719
Vadena,5630,5340,290,296,5334,4920
Valdaora,81648,67209,14439,31043,50605,34319
Val di Vizze,22673,19480,3193,9050,13623,13113
Valle Aurina,135820,124054,11766,49236,86584,59380
Valle di Casies,39124,30609,8515,24748,14376,21068
Vandoies,15799,12905,2894,4178,11621,9138
Varna,31349,24015,7334,9318,22031,20591
Verano,4237,2587,1650,907,3330,3336
Villabassa,24981,17104,7877,15888,9093,16342
Villandro,27042,24806,2236,3629,23413,19124
Vipiteno,81611,77247,4364,32689,48922,44847
Velturno,24621,18530,6091,6019,18602,16488
La Valle,14018,9941,4077,6072,7946,6669
Senale-S.Felice,4309,4256,53,1834,2475,3169
,6142089,5027911,1114178,2090874,4051215,3669141
