Comune,Totale,alberghieri,extralberghieri
Lana,36.3292688585,35.5417929376,37.276372197
Lasa,22.4272454937,15.8904109589,24.3058461583
Lauregno,1.2627646326,0,1.2627646326
Luson,26.3515494718,27.6528891387,18.8946154889
Magre' s.s.d.v.,19.0902704601,14.9504015116,31.095890411
Malles Venosta,35.1806298337,41.060354986,23.8231685269
Marebbe,33.0703538266,37.830388839,25.9339698454
Marlengo,37.2185924106,41.2167955399,23.8320446082
Martello,24.5787783833,29.228748358,17.0817715774
Meltina,18.9010789187,20.1606843535,17.5125836254
Merano,43.2856530731,45.6055760063,33.299419663
Monguelfo-Tesido,32.3378276346,39.7838243573,22.2719431761
Montagna,20.2428611566,20.6346010766,19.5862903669
Moso in Passiria,27.298565419,32.1737927217,18.8765284545
Nalles,37.391599683,42.5586108755,18.2314375566
Naturno,46.9846621606,47.2439728887,46.3844938236
Naz-Sciaves,36.8278548142,39.2724047826,22.3974472434
Nova Levante,27.9631993016,31.8920292037,18.4212871457
Nova Ponente,37.2189694468,41.3275384878,20.2204262902
Ora,30.6465975403,31.0163937989,29.2915737496
Ortisei,35.2944372869,44.2888018178,20.9793460595
Parcines,38.1084290988,44.6371922677,19.4969767362
Perca,43.201818067,48.4093325827,32.4934079362
Plaus,41.5985848863,46.9294774226,18.7519025875
Ponte Gardena,26.7339581831,26.7339581831,0
Postal,37.3884609953,43.554402269,21.5281927898
Prato allo Stelvio,25.9181903698,42.9182699708,19.0925944999
Predoi,19.0623816551,30.0985340062,8.4997955428
Proves,6.8739297945,9.8197548666,6.0301507538
Racines,39.0866635576,53.274781931,12.2317482932
Rasun Anterselva,33.0618848644,42.8835261552,21.0607657183
Renon,33.002843919,35.5654444536,27.7883052785
Rifiano,28.1324243628,31.3160439109,18.6408509987
Rio di Pusteria,46.3252348274,49.6882090932,23.5609156692
Rodengo,25.866752344,27.901853135,16.4711672545
Salorno,15.7339511147,16.3292906378,13.7452637715
S.Candido,38.255711893,39.9340090393,34.3362157247
S.Genesio Atesino,27.8981230303,33.6221431841,19.3472634303
S.Leonardo in Passiria,39.8963718691,44.2257485875,14.7465168013
S.Lorenzo di Sebato,55.6554648958,60.7058501891,46.9385420539
S.Martino in Badia,26.0489756334,32.1426366895,19.6908518913
S.Martino in Passiria,54.4987038961,66.3248004511,22.6078521334
S.Pancrazio,27.7546312726,30.6319045515,26.1263163744
S.Cristina Val Gardena,32.5156237312,38.287190807,24.2109275161
Sarentino,20.9762102573,24.9013265168,12.5836837752
Scena,46.0779918443,47.9738006453,31.5356439627
Selva dei Molini,39.0399088341,58.7774281749,12.2302265686
Selva di Val Gardena,36.8647432493,39.7795166674,26.4009784034
Senales,34.0469042148,39.0201830227,13.7870637284
Sesto,42.1337607324,46.0455370862,36.6673529797
Silandro,33.0142018293,34.3481667612,24.8493701938
Sluderno,30.7947651663,35.2987467211,16.8883111689
Stelvio,28.3457810148,32.6852084365,12.0148733031
Terento,38.0049503462,43.8833316441,18.1936026346
Terlano,27.5602339461,34.0267475229,19.6028996322
Termeno s.s.d.v.,31.515672651,36.3099804305,26.0471090018
Tesimo,24.1838627717,26.7576671664,20.9903077862
Tires,28.9731830937,38.7827239117,11.6112438457
Tirolo,41.5681900176,43.8678446561,28.0085487692
Trodena nel parco naturale,20.1344706932,19.9958723525,21.2167606769
Tubre,38.8942544594,48.4109589041,17.1631970661
Ultimo,36.8454204334,43.6853416455,21.9850538797
Vadena,38.9716470213,41.5083066161,21.3089802131
Valdaora,39.0660079217,45.0472935466,26.5477650515
Val di Vizze,23.0373154664,31.6636722481,7.1836794815
Valle Aurina,40.4403817798,47.9307478858,17.9109272488
Valle di Casies,32.6955351616,40.56860093,22.3407616027
Vandoies,13.9947703933,12.5790545582,18.7007484819
Varna,23.4506142204,39.7266242875,10.5849047701
Verano,26.924625073,27.1922467617,26.6317685849
Villabassa,24.771352148,27.8492150785,21.2251363563
Villandro,38.5064074238,47.530765608,15.3750065606
Vipiteno,40.0865035029,40.5828144458,36.0196666564
Velturno,37.7359418754,52.6300631392,22.0823470061
La Valle,30.1995635369,37.5626918182,22.0000555725
Senale-S.Felice,19.9279843444,22.3169736007,4.897260274
Totale,35.5884547939,40.610097762,24.4409312979
