Comune,Totale,alberghieri,extralberghieri
Aldino,22.0542103572,27.1858972936,12.1905005761
Andriano,32.119751696,35.5455358987,21.2120547945
Anterivo,23.1617274002,25.0791328634,6.3538327018
Appiano s.s.d.v.,33.5488777296,38.3076200029,26.0187692159
Avelengo,60.1337943003,76.5019429289,24.1685233365
Badia,32.4607797035,37.1797717858,23.6457232761
Barbiano,38.0173442333,44.0259051018,22.7079781292
Bolzano,44.2668460948,46.2433231497,36.5079293436
Braies,27.0455356439,35.5421557151,14.6331318285
Brennero,30.4476966852,38.2995910095,20.8921853929
Bressanone,33.395262591,35.3073513688,28.879093429
Bronzolo,28.6966731898,28.6966731898,0
Brunico,40.705766308,44.9351222677,27.627100692
Caines,31.7223744292,38.496194825,25.4696171409
Caldaro s.s.d.v.,32.5710433559,40.4988164435,24.4264087827
Campo di Trens,32.8304560565,34.403038112,25.5977243806
Campo Tures,32.5608698348,38.8839895993,18.6839077262
Castelbello-Ciardes,27.9976162098,29.2694063927,23.6828516101
Castelrotto,43.7410151796,49.0289697962,28.6803551271
Cermes,35.970458497,41.7775342466,23.1324133615
Chienes,41.3651263288,54.7768917279,15.0983478376
Chiusa,28.1690957828,30.02677489,23.9991850673
Cornedo all'Isarco,31.1340537501,39.2329899241,11.3366542134
Cortaccia s.s.d.v.,26.4110686028,29.5890410959,24.0289806396
Cortina s.s.d.v.,47.249377335,49.9895959771,23.196347032
Corvara in Badia,31.9669297091,35.7576977876,19.9597655461
Curon Venosta,32.2136684631,36.0992499109,23.4341393311
Dobbiaco,25.992224307,28.6383025679,22.971809216
Egna,24.1482545294,28.0136986301,15.4001441961
Falzes,36.9798585651,41.3738318337,26.389256328
Fie' allo Sciliar,37.3675978503,46.4230673436,29.2671841286
Fortezza,31.0404276646,31.9763199559,0
Funes,25.506488205,28.2729335705,23.3749555239
Gais,36.1271301286,39.0707958813,19.1150710136
Gargazzone,29.6922902751,31.4327419717,12.6296477495
Glorenza,20.8314943582,29.9506849315,18.1388199763
Laces,37.1558854001,35.6011521566,40.2593650588
Lagundo,45.3586505967,45.3566491792,45.3660336466
Laion,30.0797023375,36.7922374429,21.4396571516
Laives,40.8376276424,37.8337830684,46.8967133705
