Comune,Totale,alberghieri,extralberghieri,italiani,stranieri,semestre estivo
Aldino,75507,61224,14283,23168,52339,41942
Andriano,61315,51637,9678,11762,49553,49552
Anterivo,19402,18857,545,5954,13448,13762
Appiano s.s.d.v.,448506,313809,134697,50582,397924,367492
Avelengo,222927,194904,28023,32168,190759,141697
Badia,977337,729104,248233,546739,430598,385774
Barbiano,114711,95399,19312,6489,108222,85659
Bolzano,563597,469231,94366,195830,367767,350115
Braies,120006,93621,26385,72863,47143,82030
Brennero,190206,131336,58870,87269,102937,90524
Bressanone,512376,380580,131796,164619,347757,305981
Bronzolo,7332,7332,0,6075,1257,4374
Brunico,471828,393577,78251,220700,251128,208635
Caines,21710,12646,9064,885,20825,18790
Caldaro s.s.d.v.,503693,317371,186322,16015,487678,453743
Campo di Trens,122787,105689,17098,41935,80852,74907
Campo Tures,389482,319524,69958,166163,223319,222679
Castelbello-Ciardes,57159,46152,11007,3880,53279,50561
Castelrotto,1379257,1144243,235014,521974,857283,745672
Cermes,95340,76244,19096,10511,84829,76849
Chienes,301286,264115,37171,83655,217631,171488
Chiusa,157019,115790,41229,42412,114607,116238
Cornedo all'Isarco,77502,69309,8193,13743,63759,64809
Cortaccia s.s.d.v.,48152,23112,25040,2770,45382,40685
Cortina s.s.d.v.,30353,28829,1524,4377,25976,22840
Corvara in Badia,868619,738479,130140,435106,433513,306781
Curon Venosta,323913,251622,72291,71346,252567,129472
Dobbiaco,515564,302788,212776,354998,160566,346207
Egna,21859,17587,4272,7529,14330,15114
Falzes,140623,111197,29426,57916,82707,74243
Fie' allo Sciliar,344230,201921,142309,78488,265742,238089
Fortezza,23226,23226,0,8867,14359,14793
Funes,135381,65306,70075,52121,83260,111717
Gais,161951,149311,12640,59751,102200,88010
Gargazzone,43712,41991,1721,8286,35426,32673
Glorenza,50031,16398,33633,9698,40333,44859
Laces,228631,145949,82682,18857,209774,195022
Lagundo,533183,419453,113730,38782,494401,445784
Laion,112371,77352,35019,34520,77851,66491
Laives,236554,146517,90037,63134,173420,175012
Lana,528573,282352,246221,29952,498621,448296
Lasa,33003,5220,27783,5949,27054,27500
Lauregno,169,0,169,98,71,151
Luson,130761,116830,13931,33890,96871,88418
Magre' s.s.d.v.,5435,3165,2270,1395,4040,4687
Malles Venosta,289991,223007,66984,57268,232723,199242
Marebbe,554527,380528,173999,352119,202408,227700
Marlengo,203885,173860,30025,19634,184251,167173
Martello,63666,46728,16938,15571,48095,46493
Meltina,31183,17440,13743,6854,24329,25562
Merano,972313,831303,141010,248508,723805,701546
Monguelfo-Tesido,149902,106004,43898,84350,65552,95122
Montagna,49233,31432,17801,9633,39600,40311
Moso in Passiria,101234,75569,25665,22730,78504,58970
Nalles,82570,74019,8551,8908,73662,68060
Naturno,470551,330396,140155,28967,441584,398686
Naz-Sciaves,339930,309982,29948,56550,283380,209854
Nova Levante,209796,169487,40309,58149,151647,121962
Nova Ponente,352325,315066,37259,80212,272113,177171
Ora,119653,95134,24519,22261,97392,90641
Ortisei,604059,465510,138549,339810,264249,272516
Parcines,286375,248326,38049,23489,262886,242760
Perca,51327,38696,12631,19952,31375,23632
Plaus,50561,46249,4312,3474,47087,41973
Ponte Gardena,1854,1854,0,0,1854,898
Postal,57362,48116,9246,10569,46793,43792
Prato allo Stelvio,176337,83652,92685,32133,144204,144533
Predoi,24329,18786,5543,11636,12693,11570
Proves,2141,681,1460,1074,1067,1921
Racines,597867,533190,64677,190333,407534,305475
Rasun Anterselva,423512,302093,121419,183838,239674,240541
Renon,360036,260147,99889,113144,246892,266417
Rifiano,73179,61000,12179,2882,70297,67262
Rio di Pusteria,659017,615875,43142,187661,471356,357075
Rodengo,88560,78520,10040,21542,67018,58488
Salorno,23431,18715,4716,9785,13646,18276
S.Candido,463094,338477,124617,357290,105804,263108
S.Genesio Atesino,55106,39782,15324,11000,44106,43743
S.Leonardo in Passiria,232024,219429,12595,22210,209814,179245
S.Lorenzo di Sebato,353671,244251,109420,112698,240973,189562
S.Martino in Badia,107439,67694,39745,50115,57324,61681
S.Martino in Passiria,256143,227399,28744,28898,227245,196445
S.Pancrazio,26069,10398,15671,3599,22470,19936
S.Cristina Val Gardena,353712,245724,107988,131814,221898,143195
Sarentino,126661,102448,24213,46922,79739,73483
Scena,943516,869043,74473,50463,893053,794931
Selva dei Molini,82220,71298,10922,21626,60594,38835
Selva di Val Gardena,1148326,969154,179172,427138,721188,435144
Senales,302124,278011,24113,87602,214522,136516
Sesto,629609,401062,228547,335083,294526,371264
Silandro,142152,127126,15026,24397,117755,114729
Sluderno,41963,36333,5630,7749,34214,29423
Stelvio,382189,348180,34009,88468,293721,158233
Terento,158023,140713,17310,53233,104790,95803
Terlano,76888,52370,24518,11962,64926,61264
Termeno s.s.d.v.,163710,100503,63207,4264,159446,147590
Tesimo,119931,73477,46454,5594,114337,105187
Tires,106087,90738,15349,16731,89356,84983
Tirolo,742208,669692,72516,27242,714966,651564
Trodena nel parco naturale,44021,38755,5266,11880,32141,28380
Tubre,19733,17081,2652,4887,14846,13649
Ultimo,163983,133142,30841,32686,131297,97497
Vadena,30583,28483,2100,776,29807,27773
Valdaora,435948,340163,95785,164073,271875,198562
Val di Vizze,88767,79013,9754,44707,44060,50431
Valle Aurina,746672,664158,82514,246400,500272,355613
Valle di Casies,202478,142720,59758,120850,81628,125278
Vandoies,57134,39478,17656,14269,42865,37610
Varna,88990,66556,22434,23489,65501,61099
Verano,27648,14590,13058,4969,22679,23501
Villabassa,123402,74272,49130,86537,36865,87224
Villandro,130710,116063,14647,14868,115842,97941
Vipiteno,198648,179234,19414,95227,103421,104561
Velturno,99721,71269,28452,20908,78813,70678
La Valle,76572,50180,26392,33979,42593,39221
Senale-S.Felice,12729,12300,429,5155,7574,9768
Totale,28437889,22372423,6065466,8778015,19659874,17590389
