Comune,Totale,alberghieri,extralberghieri,italiani,stranieri,semestre estivo
Ora,154029,116256,37773,34555,119474,119646
Ortisei,545161,380080,165081,299934,245227,242387
Parcines,362163,290009,72154,11299,350864,318035
Perca,34608,20899,13709,16512,18096,19662
Plaus,36135,33204,2931,638,35497,31726
Ponte Gardena,3001,3001,0,1422,1579,1448
Postal,34770,31693,3077,9956,24814,27423
Prato allo Stelvio,110071,36356,73715,38792,71279,91971
Predoi,25852,22556,3296,10783,15069,12963
Proves,3126,985,2141,2280,846,2797
Racines,339379,290898,48481,80845,258534,162183
Rasun Anterselva,409243,253104,156139,157157,252086,232040
Renon,359192,265169,94023,146775,212417,286409
Rifiano,97926,76758,21168,2115,95811,86495
Rio di Pusteria,556154,533047,23107,101734,454420,293434
Rodengo,91796,73870,17926,25967,65829,67675
Salorno,43700,37406,6294,2826,40874,34007
S.Candido,316102,245962,70140,254572,61530,165137
S.Genesio Atesino,30890,26255,4635,10738,20152,25707
S.Leonardo in Passiria,216956,192282,24674,23299,193657,181396
S.Lorenzo di Sebato,238181,173411,64770,75536,162645,132277
S.Martino in Badia,79233,52238,26995,57105,22128,46301
S.Martino in Passiria,142072,120737,21335,8096,133976,127108
S.Pancrazio,17885,10800,7085,2057,15828,15377
S.Cristina Val Gardena,319570,234772,84798,119106,200464,132171
Sarentino,131601,104019,27582,52121,79480,87809
Scena,905801,842922,62879,24241,881560,754398
Selva dei Molini,84138,62109,22029,17768,66370,44475
Selva di Val Gardena,1061215,866005,195210,507279,553936,377904
Senales,318280,287247,31033,106409,211871,139744
Sesto,515127,320103,195024,224590,290537,295972
Silandro,134737,120324,14413,27198,107539,111975
Sluderno,37217,31975,5242,10180,27037,27954
Stelvio,418981,377348,41633,143236,275745,187931
Terento,150999,132679,18320,32368,118631,100413
Terlano,101573,72163,29410,24877,76696,79535
Termeno s.s.d.v.,166359,100299,66060,4340,162019,147920
Tesimo,127838,102716,25122,8084,119754,104261
Tires,91462,82110,9352,15122,76340,79073
Tirolo,697628,615017,82611,16265,681363,601845
Trodena nel parco naturale,47004,44584,2420,17197,29807,32507
Tubre,18049,12435,5614,6597,11452,13892
Ultimo,111657,84193,27464,27018,84639,67499
Vadena,16631,15135,1496,479,16152,15792
Valdaora,375588,278873,96715,139798,235790,160557
Val di Vizze,112451,104138,8313,52919,59532,65545
Valle Aurina,635526,512107,123419,141682,493844,331595
Valle di Casies,139697,90994,48703,82368,57329,88429
Vandoies,48195,36789,11406,17730,30465,35030
Varna,95893,59298,36595,27698,68195,65511
Verano,20718,10185,10533,6245,14473,18587
Villabassa,91732,57505,34227,70934,20798,61909
Villandro,98165,87250,10915,4667,93498,69800
Vipiteno,173248,150943,22305,81802,91446,94459
Velturno,84484,68762,15722,29112,55372,59414
La Valle,61069,46333,14736,34258,26811,33007
Senale-S.Felice,10925,10925,0,4441,6484,8760
Totale,25273318,19829723,5443595,8251182,17022136,15752244
