Comune,Totale,alberghieri,extralberghieri,italiani,stranieri,semestre estivo
Aldino,99806,81483,18323,36360,63446,63543
Andriano,44369,38399,5970,1327,43042,39371
Anterivo,29917,28735,1182,12140,17777,21637
Appiano s.s.d.v.,500241,326536,173705,44628,455613,401062
Avelengo,117280,98918,18362,18670,98610,76038
Badia,884659,650430,234229,573362,311297,343159
Barbiano,83721,69914,13807,14492,69229,61450
Bolzano,584312,520299,64013,291163,293149,314266
Braies,92889,69807,23082,59963,32926,63997
Brennero,150281,69558,80723,109241,41040,68158
Bressanone,484683,385097,99586,207175,277508,285130
Bronzolo,10836,8852,1984,9003,1833,5975
Brunico,439626,349487,90139,228578,211048,203314
Caines,25096,14426,10670,520,24576,22447
Caldaro s.s.d.v.,463277,281084,182193,24999,438278,409336
Campo di Trens,91643,83237,8406,33736,57907,57770
Campo Tures,450725,371686,79039,133806,316919,245693
Castelbello-Ciardes,58560,45527,13033,4507,54053,52323
Castelrotto,1021587,872889,148698,408924,612663,540439
Cermes,90467,73755,16712,3663,86804,73641
Chienes,211952,178501,33451,48781,163171,131882
Chiusa,128203,103428,24775,42435,85768,96373
Cornedo all'Isarco,96228,78597,17631,26259,69969,80550
Cortaccia s.s.d.v.,44181,30077,14104,5142,39039,35601
Cortina s.s.d.v.,30508,23199,7309,2378,28130,24601
Corvara in Badia,828529,707456,121073,502441,326088,291754
Curon Venosta,277955,227911,50044,61112,216843,96115
Dobbiaco,476451,305251,171200,338647,137804,306875
Egna,45158,39633,5525,14831,30327,32203
Falzes,127493,97833,29660,46548,80945,75676
Fie' allo Sciliar,282029,164913,117116,71219,210810,204524
Fortezza,19630,19630,0,4115,15515,13893
Funes,144760,93395,51365,57335,87425,124541
Gais,168725,155028,13697,42676,126049,101200
Gargazzone,31642,29983,1659,7392,24250,25167
Glorenza,17609,12248,5361,9115,8494,14073
Laces,248767,162606,86161,29298,219469,203775
Lagundo,413521,333914,79607,23667,389854,346188
Laion,120633,90675,29958,46282,74351,77619
Laives,197919,132038,65881,67400,130519,148852
Lana,452305,295349,156956,16134,436171,380763
Lasa,17138,8834,8304,4944,12194,13822
Lauregno,350,0,350,186,164,305
Luson,63564,58939,4625,13832,49732,44022
Magre' s.s.d.v.,16052,12413,3639,911,15141,13589
Malles Venosta,228872,173397,55475,57938,170934,141384
Marebbe,502130,313693,188437,407856,94274,195869
Marlengo,194682,173442,21240,16118,178564,164420
Martello,39123,35211,3912,10867,28256,34214
Meltina,27367,18121,9246,8424,18943,24864
Merano,950292,814817,135475,252846,697446,721983
Monguelfo-Tesido,141683,99242,42441,85732,55951,83631
Montagna,74618,52241,22377,11196,63422,62776
Moso in Passiria,90306,72795,17511,20769,69537,54778
Nalles,77983,59957,18026,1732,76251,68801
Naturno,366866,259850,107016,21530,345336,319595
Naz-Sciaves,232049,213939,18110,49653,182396,158439
Nova Levante,232326,186080,46246,91555,140771,135556
Nova Ponente,278561,245735,32826,62507,216054,133945
