Comune,Totale,alberghieri,extralberghieri,italiani,stranieri,semestre estivo
Nova Levante,34376,29056,5320,14581,19795,19133
Nova Ponente,37197,33099,4098,8225,28972,16610
Ora,44571,36773,7798,8613,35958,34001
Ortisei,79767,61075,18692,43793,35974,32939
Parcines,45708,37340,8368,2076,43632,38389
Perca,5490,3347,2143,2433,3057,2806
Plaus,4844,4444,400,124,4720,3980
Ponte Gardena,59,59,0,27,32,31
Postal,9084,8108,976,3316,5768,6760
Prato allo Stelvio,19133,8084,11049,6288,12845,15135
Predoi,4451,3916,535,1880,2571,2111
Proves,573,143,430,458,115,495
Racines,56706,46890,9816,11679,45027,26892
Rasun Anterselva,56131,38628,17503,22186,33945,30296
Renon,53592,41353,12239,19221,34371,39077
Rifiano,11694,8801,2893,291,11403,9977
Rio di Pusteria,83183,80416,2767,14300,68883,43312
Rodengo,14056,11620,2436,3219,10837,8893
Salorno,14968,13244,1724,1102,13866,11428
S.Candido,50140,40972,9168,38643,11497,23322
S.Genesio Atesino,5866,5158,708,1519,4347,4439
S.Leonardo in Passiria,30665,26892,3773,3997,26668,24803
S.Lorenzo di Sebato,36848,27676,9172,10538,26310,18890
S.Martino in Badia,12739,9298,3441,8490,4249,5687
S.Martino in Passiria,19882,17131,2751,1137,18745,17322
S.Pancrazio,2406,1551,855,360,2046,1927
S.Cristina Val Gardena,47046,35278,11768,17532,29514,19371
Sarentino,21964,18406,3558,8300,13664,14162
Scena,104253,96575,7678,3749,100504,83252
Selva dei Molini,12104,9344,2760,2048,10056,5837
Selva di Val Gardena,153788,128081,25707,74419,79369,51465
Senales,56500,51016,5484,23838,32662,26879
Sesto,69679,45287,24392,33068,36611,37805
Silandro,24746,22930,1816,5172,19574,19761
Sluderno,8232,7119,1113,2242,5990,6282
Stelvio,60302,54714,5588,23653,36649,28548
Terento,25187,22976,2211,4322,20865,14628
Terlano,20381,15747,4634,4576,15805,16296
Termeno s.s.d.v.,29736,20867,8869,649,29087,25607
Tesimo,16545,12962,3583,957,15588,12839
Tires,13234,12167,1067,2068,11166,10819
Tirolo,87169,77106,10063,2646,84523,72290
Trodena nel parco naturale,11921,11605,316,2951,8970,7619
Tubre,3314,2329,985,1129,2185,2249
Ultimo,15808,12930,2878,4460,11348,8847
Vadena,2686,2486,200,105,2581,2489
Valdaora,52739,40993,11746,18004,34735,19777
Val di Vizze,22386,20790,1596,8580,13806,11837
Valle Aurina,88198,72026,16172,17506,70692,41650
Valle di Casies,19352,13479,5873,11412,7940,10097
Vandoies,8371,6964,1407,2631,5740,5383
Varna,28559,19478,9081,8766,19793,19994
Verano,2837,1427,1410,647,2190,2374
Villabassa,15148,11274,3874,10492,4656,8933
Villandro,17577,15809,1768,949,16628,11280
Vipiteno,59735,56587,3148,23184,36551,34498
Velturno,15018,12827,2191,3772,11246,10021
La Valle,9130,7167,1963,5130,4000,4151
Senale-S.Felice,2245,2245,0,786,1459,1723
Totale,4024635,3303098,721537,1333217,2691418,2410622
