Comune,Totale,alberghieri,extralberghieri,italiani,stranieri,semestre estivo
Aldino,14263,11881,2382,5525,8738,9086
Andriano,7008,5960,1048,284,6724,5863
Anterivo,4504,4430,74,1389,3115,3007
Appiano s.s.d.v.,74158,57488,16670,5464,68694,61616
Avelengo,16571,14058,2513,2465,14106,10350
Badia,125680,95493,30187,85294,40386,44600
Barbiano,16950,13488,3462,2959,13991,11639
Bolzano,158262,150052,8210,76509,81753,95058
Braies,16179,13252,2927,10256,5923,10473
Brennero,24242,14232,10010,14574,9668,9728
Bressanone,109570,94047,15523,43853,65717,62815
Bronzolo,1815,1723,92,1219,596,1077
Brunico,80642,68953,11689,44547,36095,35176
Caines,3385,1915,1470,74,3311,2925
Caldaro s.s.d.v.,84615,56051,28564,4923,79692,71342
Campo di Trens,27054,22890,4164,6686,20368,18056
Campo Tures,62294,53329,8965,18554,43740,33193
Castelbello-Ciardes,8809,7138,1671,928,7881,7560
Castelrotto,131332,117729,13603,54537,76795,66863
Cermes,12955,10803,2152,759,12196,10204
Chienes,36812,32861,3951,8252,28560,20862
Chiusa,34418,29609,4809,10694,23724,23560
Cornedo all'Isarco,13499,11216,2283,3442,10057,10760
Cortaccia s.s.d.v.,8652,6158,2494,1099,7553,6438
Cortina s.s.d.v.,7425,6227,1198,247,7178,5953
Corvara in Badia,117144,103543,13601,75339,41805,40226
Curon Venosta,42016,35124,6892,9240,32776,15340
Dobbiaco,74423,54758,19665,52136,22287,45325
Egna,11636,10467,1169,2191,9445,8983
Falzes,19588,16106,3482,6547,13041,10008
Fie' allo Sciliar,44073,27945,16128,11515,32558,30638
Fortezza,5768,5768,0,1380,4388,3999
Funes,16030,11385,4645,5489,10541,13095
Gais,26644,24978,1666,6976,19668,13931
Gargazzone,6266,5923,343,1511,4755,4813
Glorenza,5123,4137,986,2635,2488,3941
Laces,36176,23800,12376,5103,31073,28240
Lagundo,54133,44792,9341,4211,49922,43603
Laion,20740,16072,4668,7581,13159,11685
Laives,49273,39850,9423,17680,31593,34893
Lana,66592,47066,19526,3238,63354,54381
Lasa,2903,1438,1465,907,1996,2191
Lauregno,56,0,56,27,29,41
Luson,9122,8546,576,1988,7134,5692
Magre' s.s.d.v.,3310,2441,869,191,3119,2773
Malles Venosta,37940,29642,8298,9143,28797,22194
Marebbe,70501,46865,23636,56627,13874,22938
Marlengo,29322,26210,3112,3352,25970,23537
Martello,5993,5535,458,1767,4226,4845
Meltina,5082,3408,1674,1426,3656,4331
Merano,165945,142239,23706,50794,115151,121836
Monguelfo-Tesido,22885,18186,4699,13303,9582,11727
Montagna,18712,14623,4089,3190,15522,15013
Moso in Passiria,13948,11038,2910,3834,10114,8379
Nalles,12310,9200,3110,267,12043,10542
Naturno,51611,38527,13084,4443,47168,42534
Naz-Sciaves,38257,36438,1819,6414,31843,23326
